symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
WLD,2024-03-24,OTC,1.017,5,2024-03-29,8.414,8.371,14724233.3,123584552.2599
WLD,2024-03-24,OTC,1.017,6,2024-03-30,8.372,8.113,7367713.1,60806338.9016
WLD,2024-03-24,OTC,1.017,7,2024-03-31,8.113,8.217,5084484.0,41725241.3064
DYDX,2024-02-03,VC,15.0,-7,2024-01-27,2.68,2.729,4107904.73,11048733.44033
DYDX,2024-02-03,VC,15.0,-6,2024-01-28,2.729,2.672,7389500.61,20350201.53356
DYDX,2024-02-03,VC,15.0,-5,2024-01-29,2.672,2.765,5167183.35,14118893.55403
DYDX,2024-02-03,VC,15.0,-4,2024-01-30,2.765,2.789,12068537.25,34105628.92724
DYDX,2024-02-03,VC,15.0,-3,2024-01-31,2.789,2.631,10561872.83,28362761.42982
DYDX,2024-02-03,VC,15.0,-2,2024-02-01,2.632,2.663,6859075.86,17956543.64486
DYDX,2024-02-03,VC,15.0,-1,2024-02-02,2.663,2.831,6911044.16,18982084.2347
DYDX,2024-02-03,VC,15.0,0,2024-02-03,2.832,2.679,4053643.39,11151418.92623
DYDX,2024-02-03,VC,15.0,1,2024-02-04,2.679,2.621,3048337.53,8119909.92227
DYDX,2024-02-03,VC,15.0,2,2024-02-05,2.621,2.74,5073495.34,13600978.5771
DYDX,2024-02-03,VC,15.0,3,2024-02-06,2.741,2.792,5144782.71,14221229.99886
DYDX,2024-02-03,VC,15.0,4,2024-02-07,2.793,2.863,6317029.38,17817644.75696
DYDX,2024-02-03,VC,15.0,5,2024-02-08,2.864,2.797,6267251.8,17848285.75472
DYDX,2024-02-03,VC,15.0,6,2024-02-09,2.797,2.997,9454828.86,27399738.28922
DYDX,2024-02-03,VC,15.0,7,2024-02-10,2.999,2.941,9679431.62,29135219.97182
BLUR,2024-02-14,VC,10.0,-7,2024-02-07,0.5805,0.6052,36309499.1,21497156.75631
BLUR,2024-02-14,VC,10.0,-6,2024-02-08,0.6053,0.6219,44865124.7,27731634.10798
BLUR,2024-02-14,VC,10.0,-5,2024-02-09,0.6219,0.6397,32036605.0,20316130.12473
BLUR,2024-02-14,VC,10.0,-4,2024-02-10,0.6396,0.6237,19398581.5,12171770.67894
BLUR,2024-02-14,VC,10.0,-3,2024-02-11,0.6238,0.6166,18654188.8,11660881.56009
BLUR,2024-02-14,VC,10.0,-2,2024-02-12,0.6169,0.6408,31697011.1,19756135.88384
BLUR,2024-02-14,VC,10.0,-1,2024-02-13,0.641,0.6921,87909363.0,58841697.48653
BLUR,2024-02-14,VC,10.0,0,2024-02-14,0.692,0.7464,76505122.3,55511663.98609
BLUR,2024-02-14,VC,10.0,1,2024-02-15,0.7464,0.7344,50287767.6,37866814.62507
BLUR,2024-02-14,VC,10.0,2,2024-02-16,0.7343,0.7161,36965113.6,26745416.99715
BLUR,2024-02-14,VC,10.0,3,2024-02-17,0.7161,0.7103,17274121.2,12186843.10952
BLUR,2024-02-14,VC,10.0,4,2024-02-18,0.7105,0.7899,34374573.3,25227501.47838
BLUR,2024-02-14,VC,10.0,5,2024-02-19,0.7894,0.7819,51884504.1,41003642.95306
BLUR,2024-02-14,VC,10.0,6,2024-02-20,0.7818,0.7608,44421826.9,33512860.93344
BLUR,2024-02-14,VC,10.0,7,2024-02-21,0.761,0.7125,33972838.1,24062903.1853
UNI,2024-04-17,VC,4.3,-7,2024-04-10,11.21,10.047,9598126.86,99215859.47391
UNI,2024-04-17,VC,4.3,-6,2024-04-11,10.047,9.139,19189507.5,177679819.36593
UNI,2024-04-17,VC,4.3,-5,2024-04-12,9.143,7.922,13220041.99,110332752.39723
UNI,2024-04-17,VC,4.3,-4,2024-04-13,7.92,6.91,15232169.21,105578774.96973
UNI,2024-04-17,VC,4.3,-3,2024-04-14,6.911,7.523,10681562.55,75740804.71003
UNI,2024-04-17,VC,4.3,-2,2024-04-15,7.523,7.247,6368389.32,47966554.47868
UNI,2024-04-17,VC,4.3,-1,2024-04-16,7.25,7.189,5612964.55,39770825.35747
UNI,2024-04-17,VC,4.3,0,2024-04-17,7.182,6.889,2433417.76,16922060.55042
UNI,2024-04-17,VC,4.3,1,2024-04-18,6.891,7.296,2702074.52,19012055.37569
UNI,2024-04-17,VC,4.3,2,2024-04-19,7.293,7.491,3764350.17,27773754.60895
UNI,2024-04-17,VC,4.3,3,2024-04-20,7.489,7.873,2374609.58,18178607.34093
UNI,2024-04-17,VC,4.3,4,2024-04-21,7.872,7.731,1276363.7,9914264.73496
UNI,2024-04-17,VC,4.3,5,2024-04-22,7.73,8.2,2333601.6,18699727.96074
UNI,2024-04-17,VC,4.3,6,2024-04-23,8.2,7.948,2111713.69,17073031.39122
UNI,2024-04-17,VC,4.3,7,2024-04-24,7.947,7.72,2089035.27,16507950.19638
RNDR,2024-04-01,VC,0.9313,-7,2024-03-25,10.927,11.041,7719231.21,85496379.76394
RNDR,2024-04-01,VC,0.9313,-6,2024-03-26,11.043,11.111,8120405.49,91671546.32364
RNDR,2024-04-01,VC,0.9313,-5,2024-03-27,11.109,11.227,13944549.97,157510830.3111
